titre,auteur,type,genre,annee,serie,volume,dispo
Sur la route,Kerouac Jack,Roman,Classique,,,,1
Initiation à la littérature anglaise,Kerst Henri et Laffay ALbert ,Doc,Littérature,,,,0
Il était une fois un vieux couple heureux,Khair-Eddine Mohammed ,Roman,Fiction,,,,1
Ca,King Stephen,Roman,Polar,,,1,0
Ca,King Stephen,Roman,Polar,,,2,0
Ca,King Stephen,Roman,Polar,,,3,0
La ligne verte,King Stephen,Roman,Polar,,,,0
Les yeux du dragon,King Stephen,Roman,Polar,,,,0
Les seigneurs de la Guerre,Klein Gérard ,Roman,SF,,,,1
Histoires de robots,Klein Gérard ,Roman,SF,1974,La Grande Anthologie de la science-Fiction,2,0
Les tueurs du temps,Klein Gérard ,Roman,SF,,,,1
Miroirs de sang,Koontz Dean ,Roman,SF,,,,1
E.T. L'extraterrestre,Kotzwinkle William ,Roman,SF,,,,1
Un stagiaire presque parfait,Kuhn Shane ,Roman,Fiction,,,,1
L'insoutenanle légèreté de l'être,Kundera,Roman,Philosophie,,,,0
Fables,La Fontaine Jean,Fables,,,,,1
Inconnu à cette adresse,Kressman Taylor Katherine,Roman,,,,,1
Un chapeau de paille d'Italie,Labiche Eugène,Roman,Classique,,,,1
Premières neiges,Lambert Derek ,Roman,Fiction,,,,1
Tout l'honneur des hommes,Lapierre Alexandra ,Roman,Histoire,,,,0
La mission des frontières,Lapouge Gilles ,Roman,Fiction,,,,1
Galactica la bataille de l'espace,Larson Gustave A.,Roman,SF,,,,1
Millénium 1,Larsson Stieg ,Roman,Polar,,,,0
Millénium 2,Larsson Stieg ,Roman,Polar,,,,0
Le chercheur d'or,Le Clézio J.M.G.,Roman,Classique,,,,1
Onitsha,Le Clézio J.M.G.,Roman,Classique,,,,1
La démocratie post-totalitaire,Le Goff Jean Pierre ,Doc,Sociologie,,,,0
L'autre côté du rêve,Le Guin Ursula ,Roman,SF,,,,1
L'ultime rivage,Le Guin Ursula ,Roman,SF,,,,1
Le nom du monde est foret,Le Guin Ursula ,Roman,SF,,,,1
Un pilote a disparu,Le May Jean-Louis et Doris,Roman,SF,,,,1
Les soldats de la honte,Le Naour Jean-Yves,Roman,Guerre,,,,0
Jacquou le croquant,Le Roy Eugène,Roman,Classique,,,,1
La demeure mystérieuse,Leblanc Maurice ,Roman,Classique,,Arsène Lupin,,1
Nord Pas de Calais,Leclercq Olivier ,Doc,Géographie,,,,0
Lille métropole,Leclerq Olivier & Etienne Alain ,Doc,Géographie,,,,0
To kill a mockingbird,Lee Harper ,Roman,Étranger,,,,1
Complétement cramé,Legardinier Gilles ,Roman,Fiction,,,,1
Demain les loups,Leiber Fritz ,Roman,SF,,,,1
Epées et démons,Leiber Fritz ,Roman,SF,,,,1
Au revoir là-haut,Lemaitre Pierre ,Roman,,,,,1
Vladimir Roubaïev,Lentz Serge,Roman,,,,,1
Le precepteur,Lenz J.M.R ,Roman,Étranger,,,,0
Péchés mortels,Leon Donna,Roman,Fantastique,,,,1
L'homme qui tua l'hiver,Léourier Christian ,Roman,SF,,,,1
Gil Blas de Santillane,Lesage Alain-René,Roman,Classique,,,2,1
Si c'est un homme,Levi Primo ,Roman,Classique,,,,1
un bébé pour Rosemary,Levin Ira ,Roman,Fiction,,,,1
Et si c'était vrai,Levy Marc ,Roman,Fiction,,,,1
Alice au pays des merveilles / De l'autre coté du miroir,Lewis Caroll ,Roman,Classique,,,,1
Voyage au bout de la nuit,Louis-Ferdinand Céline ,Roman,Classique,,,,0
Crimes de sang à Marat-sur-Oise,Lovinger-Richard Colette ,Roman,Polar,,,,0
La guerre des étoiles,Lucas George ,Roman,SF,,Star Wars,1,1
L'empire contre-attaque,Lucas George ,Roman,SF,,Star Wars,2,1
Le retour du Jedi,Lucas George ,Roman,SF,,Star Wars,3,1
Les identités meutrières,Maalouf Amin ,Essai,,,,,1
